Outplant Date,# Outplanted Corals,Monitoring Date,Reef Site,Mooring # Anchor,Species,Genotype,Genotype_NEW,Cluster #,Cow Tag,Coral Letter,"# Corals Alive
(living tissue)","# Corals Dead 
(no living tissue)",Fusion,Max Diameter (cm),% Mortality,"Bleaching 
(N, P, PB, BL)","Disease
(WB, RTL, WPX, UK) ","Predation 
(S, FW, D)","Competitors 
(A, Sp, T, Z, O)","Other 
(B, Sed)",Comments,Notes,1 Month or 1 Year
5/13/2019,10,3/25/2020,North Dry Rocks,3,A. cervicornis,U3,Acer-055,136,149,A,9,0,F,22,0,N,N,N,N,N,,NOAA YR 3,1 Year
5/13/2019,10,3/25/2020,North Dry Rocks,3,A. cervicornis,U3,Acer-055,136,149,B,9,0,F,30,0,N,N,N,A,N,,NOAA YR 3,1 Year
5/13/2019,10,7/9/2019,North Dry Rocks,3,A. cervicornis,U3,Acer-055,136,149,A,10,0,NF,15,0,N,N,N,N,N,,NOAA YR 3,1 Month
5/13/2019,10,7/9/2019,North Dry Rocks,3,A. cervicornis,U3,Acer-055,136,149,B,10,0,NF,24,0,N,N,N,N,N,,NOAA YR 3,1 Month
5/13/2019,11,3/25/2020,North Dry Rocks,3,A. cervicornis,U8,Acer-019,97,150,A,11,0,NF,16,0,N,N,N,N,N,,NOAA YR 3,1 Year
5/13/2019,11,3/25/2020,North Dry Rocks,3,A. cervicornis,U8,Acer-019,97,150,B,11,0,NF,29,0,N,N,N,N,N,,NOAA YR 3,1 Year
5/13/2019,11,7/9/2019,North Dry Rocks,3,A. cervicornis,U8,Acer-019,97,150,A,11,0,NF,14,0,N,N,N,N,N,,NOAA YR 3,1 Month
5/13/2019,11,7/9/2019,North Dry Rocks,3,A. cervicornis,U8,Acer-019,97,150,B,11,0,NF,13,0,N,N,N,N,N,,NOAA YR 3,1 Month
5/13/2019,10,3/25/2020,North Dry Rocks,3,A. cervicornis,U4,Acer-010,111,143,A,4,5,NF,,,NA,NA,NA,NA,NA,no tag,NOAA YR 3,1 Year
5/13/2019,10,3/25/2020,North Dry Rocks,3,A. cervicornis,U4,Acer-010,111,143,B,4,5,NF,17,0,N,N,N,N,N,,NOAA YR 3,1 Year
